dataset,difficulty,question,gold_sql,generated_sql,llm_model,generation_latency_seconds,generation_error,execution_error,gold_execution_error,gold_row_count,execution_latency_seconds,correct,correct_lenient,trivial_empty_match
advising,easy,"What are the advisory prerequisites for taking Dante , Petrarca , Boccaccio ?","SELECT DISTINCT COURSEalias0.ADVISORY_REQUIREMENT FROM COURSE AS COURSEalias0 WHERE COURSEalias0.NAME LIKE ""%Dante , Petrarca , Boccaccio%"" ;","SELECT DISTINCT cp.pre_course_id FROM COURSE c JOIN COURSE_PREREQUISITE cp ON c.COURSE_ID = cp.course_id WHERE c.NAME IN ('Dante', 'Petrarca', 'Boccaccio');",gpt-4o-mini,0.8561272621154785,,,,0.0,0.0,True,True,True
advising,easy,What is my GPA at present ?,SELECT DISTINCT STUDENTalias0.TOTAL_GPA FROM STUDENT AS STUDENTalias0 WHERE STUDENTalias0.STUDENT_ID = 1 ;,SELECT total_gpa FROM STUDENT WHERE student_id = [your_student_id];,gpt-4o-mini,0.5964760780334473,,"(1064, ""You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '[your_student_id]' at line 1"")",,1.0,0.0009992122650146484,False,False,False
advising,easy,Which courses would be helpful to take before taking MILSCI 302 ?,"SELECT DISTINCT COURSEalias0.ADVISORY_REQUIREMENT FROM COURSE AS COURSEalias0 WHERE COURSEalias0.DEPARTMENT = ""MILSCI"" AND COURSEalias0.NUMBER = 302 ;",SELECT DISTINCT c2.NAME FROM COURSE c1 JOIN COURSE_PREREQUISITE cp ON c1.COURSE_ID = cp.course_id JOIN COURSE c2 ON cp.pre_course_id = c2.COURSE_ID WHERE c1.NAME = 'MILSCI 302';,gpt-4o-mini,1.1468505859375,,,,1.0,0.001001119613647461,False,False,False
advising,easy,"Before taking ROMLANG 498 , which courses would be useful for me ?","SELECT DISTINCT COURSEalias0.ADVISORY_REQUIREMENT FROM COURSE AS COURSEalias0 WHERE COURSEalias0.DEPARTMENT = ""ROMLANG"" AND COURSEalias0.NUMBER = 498 ;",SELECT DISTINCT p.NAME FROM PROGRAM_COURSE pc JOIN COURSE c ON pc.COURSE_ID = c.COURSE_ID JOIN COURSE_PREREQUISITE cp ON c.COURSE_ID = cp.course_id JOIN COURSE p ON cp.pre_course_id = p.COURSE_ID WHERE p.NAME <> 'ROMLANG 498';,gpt-4o-mini,1.1582446098327637,,,,1.0,0.0,False,False,False
advising,easy,Which courses are useful to take before taking MEDCHEM 528 ?,"SELECT DISTINCT COURSEalias0.ADVISORY_REQUIREMENT FROM COURSE AS COURSEalias0 WHERE COURSEalias0.DEPARTMENT = ""MEDCHEM"" AND COURSEalias0.NUMBER = 528 ;",SELECT DISTINCT p.course_id FROM COURSE_PREREQUISITE p WHERE p.course_id = (SELECT course_id FROM COURSE WHERE NAME = 'MEDCHEM 528');,gpt-4o-mini,0.8034622669219971,,,,1.0,0.0024709701538085938,False,False,False
advising,easy,Can you name courses that would prepare me for taking PHARMACY 562 ?,"SELECT DISTINCT COURSEalias0.ADVISORY_REQUIREMENT FROM COURSE AS COURSEalias0 WHERE COURSEalias0.DEPARTMENT = ""PHARMACY"" AND COURSEalias0.NUMBER = 562 ;",SELECT DISTINCT c.NAME FROM COURSE c JOIN COURSE_PREREQUISITE cp ON c.COURSE_ID = cp.course_id WHERE cp.pre_course_id = (SELECT COURSE_ID FROM COURSE WHERE NAME = 'PHARMACY 562');,gpt-4o-mini,1.0455617904663086,,,,1.0,0.0,False,False,False
advising,easy,How large is course 533 ?,"SELECT DISTINCT COURSEalias0.NUM_ENROLLED FROM COURSE AS COURSEalias0 WHERE COURSEalias0.DEPARTMENT = """" AND COURSEalias0.NUMBER = 533 ;",SELECT CREDITS FROM COURSE WHERE COURSE_ID = 533;,gpt-4o-mini,0.6166939735412598,,,,0.0,0.0,False,False,False
advising,easy,Are there any advisory prerequisites for Cognition and Environment ?,"SELECT DISTINCT COURSEalias0.ADVISORY_REQUIREMENT FROM COURSE AS COURSEalias0 WHERE COURSEalias0.NAME LIKE ""%Cognition and Environment%"" ;",SELECT DISTINCT cp.pre_course_id FROM COURSE_PREREQUISITE cp JOIN COURSE c ON cp.course_id = c.COURSE_ID WHERE c.NAME = 'Cognition and Environment';,gpt-4o-mini,0.8700318336486816,,,,1.0,0.0010035037994384766,False,False,False
advising,easy,"If I take PHARMACY 426 , what classes will I be able to take ?","SELECT DISTINCT COURSEalias0.DEPARTMENT , COURSEalias0.NAME , COURSEalias0.NUMBER FROM COURSE AS COURSEalias0 INNER JOIN COURSE_PREREQUISITE AS COURSE_PREREQUISITEalias0 ON COURSEalias0.COURSE_ID = COURSE_PREREQUISITEalias0.COURSE_ID INNER JOIN COURSE AS COURSEalias1 ON COURSEalias1.COURSE_ID = COURSE_PREREQUISITEalias0.PRE_COURSE_ID WHERE COURSEalias1.DEPARTMENT = ""PHARMACY"" AND COURSEalias1.NUMBER = 426 ;",SELECT DISTINCT c2.NAME FROM COURSE c1 JOIN COURSE_PREREQUISITE cp ON c1.COURSE_ID = cp.course_id JOIN COURSE c2 ON cp.pre_course_id = c2.COURSE_ID WHERE c1.NAME = 'PHARMACY 426';,gpt-4o-mini,1.1640644073486328,,,,0.0,0.007752180099487305,True,True,True
advising,easy,Which department is Upper-Level Writing in ?,"SELECT DISTINCT COURSEalias0.DEPARTMENT FROM COURSE AS COURSEalias0 WHERE COURSEalias0.NAME LIKE ""%Upper-Level Writing%"" ;",SELECT DISTINCT c.DEPARTMENT FROM COURSE c WHERE c.NAME = 'Upper-Level Writing';,gpt-4o-mini,1.2510802745819092,,,,1.0,0.0025331974029541016,False,False,False
advising,easy,Can I get 7 credits from taking any of these courses ?,"SELECT DISTINCT COURSEalias0.NAME , COURSEalias0.NUMBER FROM COURSE AS COURSEalias0 WHERE COURSEalias0.CREDITS = 7 AND COURSEalias0.DEPARTMENT = """" ;",SELECT DISTINCT c.CREDITS FROM COURSE c WHERE c.CREDITS = 7;,gpt-4o-mini,0.7827169895172119,,,,0.0,0.004010677337646484,False,False,False
advising,easy,Display to me what is required for a CS-LSA degree .,"SELECT DISTINCT PROGRAM_REQUIREMENTalias0.ADDITIONAL_REQ , PROGRAM_REQUIREMENTalias0.CATEGORY , PROGRAM_REQUIREMENTalias0.MIN_CREDIT , PROGRAMalias0.NAME FROM PROGRAM AS PROGRAMalias0 , PROGRAM_REQUIREMENT AS PROGRAM_REQUIREMENTalias0 WHERE PROGRAMalias0.NAME LIKE ""%CS-LSA%"" AND PROGRAMalias0.PROGRAM_ID = PROGRAM_REQUIREMENTalias0.PROGRAM_ID ;",SELECT DISTINCT pr.additional_req FROM PROGRAM_REQUIREMENT pr JOIN PROGRAM p ON pr.program_id = p.program_id WHERE p.name = 'CS-LSA';,gpt-4o-mini,1.1374311447143555,,,,4.0,0.0,False,False,False
advising,easy,What upper level classes produce 10 credits ?,"SELECT DISTINCT COURSEalias0.DEPARTMENT , COURSEalias0.NAME , COURSEalias0.NUMBER FROM COURSE AS COURSEalias0 INNER JOIN PROGRAM_COURSE AS PROGRAM_COURSEalias0 ON PROGRAM_COURSEalias0.COURSE_ID = COURSEalias0.COURSE_ID WHERE COURSEalias0.CREDITS = 10 AND PROGRAM_COURSEalias0.CATEGORY LIKE ""ULCS"" ;",SELECT NAME FROM COURSE WHERE CREDITS = 10 AND NUMBER >= 300;,gpt-4o-mini,1.6950197219848633,,,,0.0,0.0030138492584228516,False,False,False
advising,easy,Does 399 have a project assigned to it ?,"SELECT DISTINCT COURSEalias0.HAS_PROJECTS FROM COURSE AS COURSEalias0 WHERE COURSEalias0.DEPARTMENT = """" AND COURSEalias0.NUMBER = 399 ;",SELECT HAS_PROJECTS FROM COURSE WHERE COURSE_ID = 399;,gpt-4o-mini,0.9377837181091309,,,,0.0,0.001047372817993164,False,False,False
advising,hard,Which classes are available as Other from the classes next semester ?,"SELECT DISTINCT COURSEalias0.DEPARTMENT , COURSEalias0.NAME , COURSEalias0.NUMBER FROM COURSE AS COURSEalias0 , COURSE_OFFERING AS COURSE_OFFERINGalias0 , PROGRAM_COURSE AS PROGRAM_COURSEalias0 , SEMESTER AS SEMESTERalias0 WHERE COURSEalias0.COURSE_ID = COURSE_OFFERINGalias0.COURSE_ID AND PROGRAM_COURSEalias0.CATEGORY LIKE ""%Other%"" AND PROGRAM_COURSEalias0.COURSE_ID = COURSEalias0.COURSE_ID AND SEMESTERalias0.SEMESTER = ""FA"" AND SEMESTERalias0.SEMESTER_ID = COURSE_OFFERINGalias0.SEMESTER AND SEMESTERalias0.YEAR = 2016 GROUP BY COURSEalias0.DEPARTMENT , COURSEalias0.NUMBER ;",SELECT DISTINCT co.COURSE_ID FROM COURSE_OFFERING co JOIN SEMESTER s ON co.SEMESTER = s.semester_id WHERE s.semester = 'Next' AND co.CLASS_ADDRESS = 'Other';,gpt-4o-mini,1.0296521186828613,,,"(1055, ""Expression #2 of SELECT list is not in GROUP BY clause and contains nonaggregated column 'advising.COURSEalias0.NAME' which is not functionally dependent on columns in GROUP BY clause; this is incompatible with sql_mode=only_full_group_by"")",,,False,False,False
advising,hard,Which is less demanding out of EECS 545 and EECS 562 ?,"SELECT DISTINCT COURSEalias0.NUMBER FROM COURSE AS COURSEalias0 INNER JOIN PROGRAM_COURSE AS PROGRAM_COURSEalias0 ON PROGRAM_COURSEalias0.COURSE_ID = COURSEalias0.COURSE_ID WHERE ( COURSEalias0.NUMBER = 545 OR COURSEalias0.NUMBER = 562 ) AND PROGRAM_COURSEalias0.WORKLOAD = ( SELECT MIN( PROGRAM_COURSEalias1.WORKLOAD ) FROM PROGRAM_COURSE AS PROGRAM_COURSEalias1 INNER JOIN COURSE AS COURSEalias1 ON PROGRAM_COURSEalias1.COURSE_ID = COURSEalias1.COURSE_ID WHERE ( COURSEalias1.NUMBER = 545 OR COURSEalias1.NUMBER = 562 ) AND COURSEalias1.DEPARTMENT = ""EECS"" ) ;","SELECT c.NAME, c.EASINESS_SCORE FROM COURSE c WHERE c.NUMBER IN ('545', '562') ORDER BY c.EASINESS_SCORE LIMIT 1;",gpt-4o-mini,0.8680171966552734,,,,0.0,0.0041582584381103516,False,False,False
advising,hard,"Before noon , what upper level electives are offered ?","SELECT DISTINCT COURSEalias0.DEPARTMENT , COURSEalias0.NAME , COURSEalias0.NUMBER FROM COURSE AS COURSEalias0 , COURSE_OFFERING AS COURSE_OFFERINGalias0 , PROGRAM_COURSE AS PROGRAM_COURSEalias0 , SEMESTER AS SEMESTERalias0 WHERE COURSE_OFFERINGalias0.END_TIME <= ""12:00:00"" AND COURSEalias0.COURSE_ID = COURSE_OFFERINGalias0.COURSE_ID AND PROGRAM_COURSEalias0.CATEGORY LIKE ""%ULCS%"" AND PROGRAM_COURSEalias0.COURSE_ID = COURSEalias0.COURSE_ID AND SEMESTERalias0.SEMESTER = ""WN"" AND SEMESTERalias0.SEMESTER_ID = COURSE_OFFERINGalias0.SEMESTER AND SEMESTERalias0.YEAR = 2016 ;",SELECT DISTINCT co.COURSE_ID FROM COURSE_OFFERING co JOIN COURSE c ON co.COURSE_ID = c.COURSE_ID WHERE co.START_TIME < '12:00:00' AND c.NUMBER >= 300;,gpt-4o-mini,0.8587052822113037,,,,7.0,0.1781308650970459,False,False,False
advising,hard,Are there any classes Dr. Stefan Cieply has taught before ?,"SELECT DISTINCT COURSEalias0.DEPARTMENT , COURSEalias0.NAME , COURSEalias0.NUMBER FROM COURSE AS COURSEalias0 , COURSE_OFFERING AS COURSE_OFFERINGalias0 , INSTRUCTOR AS INSTRUCTORalias0 , OFFERING_INSTRUCTOR AS OFFERING_INSTRUCTORalias0 WHERE COURSE_OFFERINGalias0.SEMESTER < ( SELECT SEMESTERalias0.SEMESTER_ID FROM SEMESTER AS SEMESTERalias0 WHERE SEMESTERalias0.SEMESTER = ""WN"" AND SEMESTERalias0.YEAR = 2016 ) AND COURSEalias0.COURSE_ID = COURSE_OFFERINGalias0.COURSE_ID AND INSTRUCTORalias0.NAME LIKE ""%Stefan Cieply%"" AND OFFERING_INSTRUCTORalias0.INSTRUCTOR_ID = INSTRUCTORalias0.INSTRUCTOR_ID AND OFFERING_INSTRUCTORalias0.OFFERING_ID = COURSE_OFFERINGalias0.OFFERING_ID ;",SELECT DISTINCT co.COURSE_ID FROM COURSE_OFFERING co JOIN OFFERING_INSTRUCTOR oi ON co.OFFERING_ID = oi.OFFERING_ID JOIN INSTRUCTOR i ON oi.INSTRUCTOR_ID = i.INSTRUCTOR_ID WHERE i.NAME = 'Dr. Stefan Cieply';,gpt-4o-mini,1.6069555282592773,,,,3.0,0.002504587173461914,False,False,False
advising,hard,"Between EECS 519 and EECS 537 , which is easier ?","SELECT DISTINCT COURSEalias0.NUMBER FROM COURSE AS COURSEalias0 INNER JOIN PROGRAM_COURSE AS PROGRAM_COURSEalias0 ON PROGRAM_COURSEalias0.COURSE_ID = COURSEalias0.COURSE_ID WHERE ( COURSEalias0.NUMBER = 519 OR COURSEalias0.NUMBER = 537 ) AND PROGRAM_COURSEalias0.WORKLOAD = ( SELECT MIN( PROGRAM_COURSEalias1.WORKLOAD ) FROM PROGRAM_COURSE AS PROGRAM_COURSEalias1 INNER JOIN COURSE AS COURSEalias1 ON PROGRAM_COURSEalias1.COURSE_ID = COURSEalias1.COURSE_ID WHERE ( COURSEalias1.NUMBER = 519 OR COURSEalias1.NUMBER = 537 ) AND COURSEalias1.DEPARTMENT = ""EECS"" ) ;","SELECT c1.NAME, c1.EASINESS_SCORE, c2.NAME, c2.EASINESS_SCORE FROM COURSE c1, COURSE c2 WHERE c1.NUMBER = '519' AND c2.NUMBER = '537';",gpt-4o-mini,1.1620099544525146,,,,0.0,0.008005380630493164,False,False,False
advising,hard,Which 400 / 500 -level POLSCI courses have the smallest workloads ?,"SELECT DISTINCT COURSEalias0.DEPARTMENT , COURSEalias0.NAME , COURSEalias0.NUMBER , PROGRAM_COURSEalias0.WORKLOAD FROM COURSE AS COURSEalias0 INNER JOIN PROGRAM_COURSE AS PROGRAM_COURSEalias0 WHERE ( ( COURSEalias0.NUMBER < 400 + 100 AND COURSEalias0.NUMBER >= 400 ) OR ( COURSEalias0.NUMBER < 500 + 100 AND COURSEalias0.NUMBER >= 500 ) ) AND COURSEalias0.DEPARTMENT = ""POLSCI"" AND PROGRAM_COURSEalias0.WORKLOAD = ( SELECT MIN( PROGRAM_COURSEalias1.WORKLOAD ) FROM COURSE AS COURSEalias1 INNER JOIN PROGRAM_COURSE AS PROGRAM_COURSEalias1 WHERE ( ( COURSEalias1.NUMBER < 400 + 100 AND COURSEalias1.NUMBER >= 400 ) OR ( COURSEalias1.NUMBER < 500 + 100 AND COURSEalias1.NUMBER >= 500 ) ) AND COURSEalias1.DEPARTMENT = ""POLSCI"" ) ;",SELECT pc.course_id FROM PROGRAM_COURSE pc JOIN COURSE c ON pc.course_id = c.COURSE_ID WHERE c.DEPARTMENT = 'POLSCI' AND c.NUMBER >= 400 AND c.NUMBER < 600 ORDER BY pc.workload ASC LIMIT 1;,gpt-4o-mini,1.038435459136963,,,,44.0,0.0010006427764892578,False,False,False
advising,hard,In which area have most of my C 's been earned ?,"SELECT DISTINCT DERIVED_TABLEalias0.DERIVED_FIELDalias1 FROM ( SELECT AREAalias0.AREA AS DERIVED_FIELDalias0 , COUNT( * ) AS DERIVED_FIELDalias1 FROM AREA AS AREAalias0 INNER JOIN STUDENT_RECORD AS STUDENT_RECORDalias0 ON STUDENT_RECORDalias0.COURSE_ID = AREAalias0.COURSE_ID WHERE STUDENT_RECORDalias0.GRADE LIKE ""C"" AND STUDENT_RECORDalias0.STUDENT_ID = 1 GROUP BY AREAalias0.AREA ) AS DERIVED_TABLEalias0 WHERE DERIVED_TABLEalias0.DERIVED_FIELDalias1 = ( SELECT COUNT( * ) AS DERIVED_FIELDalias2 FROM AREA AS AREAalias1 , STUDENT_RECORD AS STUDENT_RECORDalias1 WHERE STUDENT_RECORDalias1.COURSE_ID = AREAalias1.COURSE_ID AND STUDENT_RECORDalias1.GRADE LIKE ""C"" AND STUDENT_RECORDalias1.STUDENT_ID = 1 GROUP BY AREAalias1.AREA ORDER BY DERIVED_FIELDalias2 DESC LIMIT 1 ) ;","SELECT a.area, COUNT(sr.grade) AS count_c FROM AREA a JOIN STUDENT_RECORD sr ON a.course_id = sr.course_id WHERE sr.grade = 'C' AND sr.student_id = ? GROUP BY a.area ORDER BY count_c DESC LIMIT 1;",gpt-4o-mini,0.9135820865631104,,"(1064, ""You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '? GROUP BY a.AREA ORDER BY count_c DESC LIMIT 1' at line 1"")",,0.0,0.002117156982421875,False,False,False
advising,hard,What courses can be taken for PreMajor next semester ?,"SELECT DISTINCT COURSEalias0.DEPARTMENT , COURSEalias0.NAME , COURSEalias0.NUMBER FROM COURSE AS COURSEalias0 , COURSE_OFFERING AS COURSE_OFFERINGalias0 , PROGRAM AS PROGRAMalias0 , PROGRAM_COURSE AS PROGRAM_COURSEalias0 , SEMESTER AS SEMESTERalias0 WHERE COURSEalias0.COURSE_ID = COURSE_OFFERINGalias0.COURSE_ID AND PROGRAM_COURSEalias0.CATEGORY LIKE ""%PreMajor%"" AND PROGRAM_COURSEalias0.COURSE_ID = COURSEalias0.COURSE_ID AND PROGRAMalias0.NAME LIKE ""%CS-LSA%"" AND PROGRAMalias0.PROGRAM_ID = PROGRAM_COURSEalias0.PROGRAM_ID AND SEMESTERalias0.SEMESTER = ""FA"" AND SEMESTERalias0.SEMESTER_ID = COURSE_OFFERINGalias0.SEMESTER AND SEMESTERalias0.YEAR = 2016 ;",SELECT c.NAME FROM COURSE c JOIN PROGRAM_COURSE pc ON c.COURSE_ID = pc.course_id JOIN PROGRAM p ON pc.program_id = p.program_id WHERE p.name = 'PreMajor' AND pc.category = 'next semester';,gpt-4o-mini,1.033351182937622,,,,4.0,0.0020012855529785156,False,False,False
advising,hard,Did Prof. Wayne High teach PATH 699 in Summer 2015 ?,"SELECT COUNT( * ) > 0 FROM COURSE AS COURSEalias0 , COURSE_OFFERING AS COURSE_OFFERINGalias0 , INSTRUCTOR AS INSTRUCTORalias0 , OFFERING_INSTRUCTOR AS OFFERING_INSTRUCTORalias0 , SEMESTER AS SEMESTERalias0 WHERE COURSEalias0.COURSE_ID = COURSE_OFFERINGalias0.COURSE_ID AND COURSEalias0.DEPARTMENT = ""PATH"" AND COURSEalias0.NUMBER = 699 AND INSTRUCTORalias0.NAME LIKE ""%Wayne High%"" AND OFFERING_INSTRUCTORalias0.INSTRUCTOR_ID = INSTRUCTORalias0.INSTRUCTOR_ID AND OFFERING_INSTRUCTORalias0.OFFERING_ID = COURSE_OFFERINGalias0.OFFERING_ID AND SEMESTERalias0.SEMESTER = ""Summer"" AND SEMESTERalias0.SEMESTER_ID = COURSE_OFFERINGalias0.SEMESTER AND SEMESTERalias0.YEAR = 2015 ;",SELECT EXISTS(SELECT 1 FROM OFFERING_INSTRUCTOR oi JOIN COURSE_OFFERING co ON oi.OFFERING_ID = co.OFFERING_ID JOIN INSTRUCTOR i ON oi.INSTRUCTOR_ID = i.INSTRUCTOR_ID WHERE i.NAME = 'Wayne High' AND co.COURSE_ID = (SELECT COURSE_ID FROM COURSE WHERE NAME = 'PATH 699') AND co.SEMESTER = 'Summer 2015');,gpt-4o-mini,1.219383716583252,,,,1.0,0.0040090084075927734,True,True,False
advising,hard,What number of 10 -credit upper-level NEAREAST classes are being offered this Spring-Summer ?,"SELECT COUNT( DISTINCT COURSEalias0.COURSE_ID ) FROM COURSE AS COURSEalias0 , COURSE_OFFERING AS COURSE_OFFERINGalias0 , PROGRAM_COURSE AS PROGRAM_COURSEalias0 , SEMESTER AS SEMESTERalias0 WHERE COURSEalias0.COURSE_ID = COURSE_OFFERINGalias0.COURSE_ID AND COURSEalias0.CREDITS = 10 AND COURSEalias0.DEPARTMENT = ""NEAREAST"" AND PROGRAM_COURSEalias0.CATEGORY LIKE ""%ULCS%"" AND PROGRAM_COURSEalias0.COURSE_ID = COURSEalias0.COURSE_ID AND SEMESTERalias0.SEMESTER = ""Spring-Summer"" AND SEMESTERalias0.SEMESTER_ID = COURSE_OFFERINGalias0.SEMESTER AND SEMESTERalias0.YEAR = 2016 ;",SELECT COUNT(*) FROM COURSE_OFFERING co JOIN COURSE c ON co.COURSE_ID = c.COURSE_ID WHERE c.CREDITS = 10 AND c.NUMBER >= 300 AND co.SEMESTER = 'Spring-Summer';,gpt-4o-mini,0.9623830318450928,,,,1.0,0.005024433135986328,True,True,False
advising,hard,"During the Fall and Winter term , how many 500 level classes are offered ?","SELECT COUNT( DISTINCT COURSEalias0.DEPARTMENT , COURSEalias0.NAME , COURSEalias0.NUMBER , SEMESTERalias0.SEMESTER ) FROM COURSE AS COURSEalias0 , COURSE_OFFERING AS COURSE_OFFERINGalias0 , SEMESTER AS SEMESTERalias0 WHERE COURSEalias0.COURSE_ID = COURSE_OFFERINGalias0.COURSE_ID AND COURSEalias0.DEPARTMENT = ""department0"" AND COURSEalias0.NUMBER BETWEEN 500 AND 500 + 100 AND SEMESTERalias0.SEMESTER IN ( ""FA"" , ""WN"" ) AND SEMESTERalias0.SEMESTER_ID = COURSE_OFFERINGalias0.SEMESTER AND SEMESTERalias0.YEAR = 2016 ;",SELECT COUNT(DISTINCT co.OFFERING_ID) FROM COURSE_OFFERING co JOIN COURSE c ON co.COURSE_ID = c.COURSE_ID WHERE (co.SEMESTER LIKE '%Fall%' OR co.SEMESTER LIKE '%Winter%') AND c.NUMBER >= 500;,gpt-4o-mini,0.8951437473297119,,,,1.0,0.05425286293029785,True,True,False
