dataset,query_split,question_split,question,gold_sql,difficulty
custom_atis,test,test,Which airlines operate more flights than the average number of flights per airline?,"SELECT airline_code, COUNT(*) AS flight_count FROM flight GROUP BY airline_code HAVING COUNT(*) > ( SELECT AVG(cnt) FROM ( SELECT COUNT(*) AS cnt FROM flight GROUP BY airline_code ) AS airline_counts ) ;",hard
custom_atis,test,test,Which cities are served by more than one airport?,"SELECT c.city_name, COUNT(DISTINCT s.airport_code) AS airport_count FROM city c JOIN airport_service s ON c.city_code = s.city_code GROUP BY c.city_name HAVING COUNT(DISTINCT s.airport_code) > 1 ;",medium
custom_atis,test,test,"For each route (from airport to airport) that has more than one airline offering a fare, show the cheapest one-direction cost.","SELECT from_airport, to_airport, MIN(one_direction_cost) AS cheapest_fare FROM fare GROUP BY from_airport, to_airport HAVING COUNT(DISTINCT fare_airline) > 1 ;",medium
custom_atis,test,test,Find flights that have more stops than the average number of stops among flights operated by the same airline.,"SELECT f.flight_id, f.airline_code, f.stops FROM flight f WHERE f.stops > ( SELECT AVG(f2.stops) FROM flight f2 WHERE f2.airline_code = f.airline_code ) ;",medium
custom_atis,test,test,Which airlines have an average one-direction fare cost higher than the overall average across all airlines?,"SELECT fare_airline, AVG(one_direction_cost) AS avg_cost FROM fare GROUP BY fare_airline HAVING AVG(one_direction_cost) > ( SELECT AVG(one_direction_cost) FROM fare ) ;",hard
custom_atis,test,test,Which states have airports served by flights from more than 3 different airlines?,"SELECT st.state_name, COUNT(DISTINCT fl.airline_code) AS airline_count FROM state st JOIN airport ap ON st.state_code = ap.state_code JOIN flight fl ON fl.from_airport = ap.airport_code GROUP BY st.state_name HAVING COUNT(DISTINCT fl.airline_code) > 3 ;",medium
custom_atis,test,test,"Find the flight(s) with the maximum number of stops, along with the airline name operating them.","SELECT f.flight_id, al.airline_name, f.stops FROM flight f JOIN airline al ON f.airline_code = al.airline_code WHERE f.stops = ( SELECT MAX(stops) FROM flight ) ;",medium
custom_atis,test,test,List fare basis codes whose average one-direction cost is above the overall average one-direction cost.,"SELECT fare_basis_code, AVG(one_direction_cost) AS avg_cost FROM fare GROUP BY fare_basis_code HAVING AVG(one_direction_cost) > ( SELECT AVG(one_direction_cost) FROM fare ) ;",hard
custom_advising,test,test,Which instructors have taught more course offerings than the average number of offerings per instructor?,"SELECT oi.INSTRUCTOR_ID, COUNT(*) AS offering_count FROM OFFERING_INSTRUCTOR oi GROUP BY oi.INSTRUCTOR_ID HAVING COUNT(*) > ( SELECT AVG(cnt) FROM ( SELECT COUNT(*) AS cnt FROM OFFERING_INSTRUCTOR GROUP BY INSTRUCTOR_ID ) AS counts ) ;",hard
custom_advising,test,test,List courses that have more than 2 prerequisite courses.,"SELECT c.COURSE_ID, c.NAME, COUNT(*) AS prereq_count FROM COURSE_PREREQUISITE cp JOIN COURSE c ON cp.course_id = c.COURSE_ID GROUP BY c.COURSE_ID, c.NAME HAVING COUNT(*) > 2 ;",medium
custom_advising,test,test,Which programs have an average course workload higher than the overall average workload across all programs?,"SELECT program_id, AVG(workload) AS avg_workload FROM PROGRAM_COURSE GROUP BY program_id HAVING AVG(workload) > ( SELECT AVG(workload) FROM PROGRAM_COURSE ) ;",hard
custom_advising,test,test,Find students whose total GPA is higher than the average GPA of students in the same program.,"SELECT s.student_id, s.firstname, s.lastname, s.total_gpa FROM STUDENT s WHERE s.total_gpa > ( SELECT AVG(s2.total_gpa) FROM STUDENT s2 WHERE s2.program_id = s.program_id ) ;",medium
custom_advising,test,test,Which courses have a clarity score above the average clarity score for their department?,"SELECT c.COURSE_ID, c.NAME, c.DEPARTMENT, c.CLARITY_SCORE FROM COURSE c WHERE c.CLARITY_SCORE > ( SELECT AVG(c2.CLARITY_SCORE) FROM COURSE c2 WHERE c2.DEPARTMENT = c.DEPARTMENT ) ;",medium
custom_advising,test,test,Find courses that are required as a prerequisite for more than 3 other courses.,"SELECT c.COURSE_ID, c.NAME, COUNT(*) AS required_for_count FROM COURSE_PREREQUISITE cp JOIN COURSE c ON cp.pre_course_id = c.COURSE_ID GROUP BY c.COURSE_ID, c.NAME HAVING COUNT(*) > 3 ;",medium
custom_advising,test,test,Which semesters had more course offerings than the average number of offerings per semester?,"SELECT SEMESTER, COUNT(*) AS offering_count FROM COURSE_OFFERING GROUP BY SEMESTER HAVING COUNT(*) > ( SELECT AVG(cnt) FROM ( SELECT COUNT(*) AS cnt FROM COURSE_OFFERING GROUP BY SEMESTER ) AS counts ) ;",hard
custom_advising,test,test,Find courses with more enrolled students than the average enrollment across all courses in the same department.,"SELECT c.COURSE_ID, c.NAME, c.DEPARTMENT, c.NUM_ENROLLED FROM COURSE c WHERE c.NUM_ENROLLED > ( SELECT AVG(c2.NUM_ENROLLED) FROM COURSE c2 WHERE c2.DEPARTMENT = c.DEPARTMENT ) ;",medium
